"id","profileName","text","date","title","rating","images","helpful","Size name","Colour","Pattern name"
"R2175DKWOQ16BI","Neha","
  Please do not buy expensive product like iphone from Amazon, i had very bad exp, the charger cord was missing and had sound quality issues. Amazon initial told charger doesn't come in box and when i challenged it they asked reimburse the cord amount, but i requested a replacement, after some days they called me and informed that they dont take responsibility of missing items, and 10 day replacement policy they dont follow, you can read the email conversation attached  here where i mentioned every thing, i have the call recordings as well. At last they denied the phone replacement and even to provide the missing cord. For any damage or quality issues they said amazon is not responsible.
","Reviewed in India on 10 July 2020","Do not buy iphone or expensive product from Amazom",1,"https://images-na.ssl-images-amazon.com/images/I/81JkhyInN-L.jpg
https://images-na.ssl-images-amazon.com/images/I/81pNDrWd32L.jpg","18424",,,
"R2P0NP0OWNJQFU","Krusshna","
  Bought the mobile from appario retail ltd. Mobile is heating up within seconds and also camera modes aren’t working properly. Particularly in portrait mode, the stage light and mono options aren’t working properly.  i raised the same to apple customer care they confirmed that its not software issue. But the amazon customer care told me that they need a job card and report from apple service center. The nearest service center is located at 210km from my place, imagine the amount of strain and how much its going to cost. Before you buy anything from this seller just google it and u can find numerous complaints on this seller. What ever they sell u will find defective products only. There is a thread on this sellers dubious deals in quora. Please be safe and don’t regret after.
","Reviewed in India on 13 November 2019","Don’t buy it from this seller",1,"https://images-na.ssl-images-amazon.com/images/I/717t-PGtTxL.jpg","5328",,,
"R2XPHII12D9O7Q","shanu Kumar","
  Awesome Phone. Nice upgrade from iPhone 6s to iPhone 11. Love this beautiful phone.
","Reviewed in India on 30 September 2019","Solid premium phone from Apple",5,"https://images-na.ssl-images-amazon.com/images/I/61JjJZ5oOkL.jpg
https://images-na.ssl-images-amazon.com/images/I/61wBtb7RDcL.jpg
https://images-na.ssl-images-amazon.com/images/I/61z1L0ANWTL.jpg
https://images-na.ssl-images-amazon.com/images/I/71tbn9aqhZL.jpg","2881",,,
"R30BO9XB4936RU","Sai ","
  This is a big scam. I received the iphone 11 yesterday and it turned out to be a defective piece . The audio doesn’t record when you are recording a video. Multiple other issues like phone not turning on even after being on full charge . So it says 10 days replacement on this. So I clicked on it and Amazon says we can’t do anything you should contact Apple . Apple says our service Centers are not having any slots so we can’t do anything you should contact amazon . What is this ? You torture a customer as soon as you make money . And that too for such en expensive phone . I demand a replacement for my phone right now Amazon ! Don’t play with people’s hard earned money . Guys stay away from this Apple days sale .
","Reviewed in India on 22 July 2020","GOT CHEATED . ITS A SCAM. AMAZON FIX THIS",1,"","1279",,,
"R24K8G1ABRUZHM","Amazon Customer","
  My Phone is Producing Too Much Heat Even Didn’t Put Sim , Never used more than Half an hour And It’s producing too much heat.. Totally Disappointed With Amazon. Now they are saying To Go Icare services( After Calling to customer care several times) Amazon can’t do anything For this . Worst Experience with Amazon. No one would like to repair new phone 😢 Better Go for shop To buy apple products .
","Reviewed in India on 14 October 2019","Worst Experience Ever.!",1,"","1422",,,
"R51EDHN250S9U","Sunny Kumar","
  The iPhone design is good and the camera quality is awesome. You can also take pictures in wide angles and the image quality is awesome.Phone got delivered at 9am on 28th September (I pre-order it on 27th September at 3am in the morning), I got my phone before the delivery date with nice and secured packaging.The overall look of the phone is premium and face unlocking is fast. I grabbed this phone with HDFC 6K Instant Discount Offer at Just 64K (128 GB Variant).Cons:1. The phone is great but if you use ""in the box"" accessories like ""EarPods with Lighting Connector"", then you might feel a little pain in your ears.2. The phone comes with 5W charger which charge your phone slowly. I recommend you to prefer using 18W charger.Well, I've never tried the iPhone before and I'm using this for the first time (Yes, I'm already using other apple products like MacBook Air & Pro).But the product is great and I'm just lovin it.
","Reviewed in India on 29 September 2019","First Time iPhone User Review :-)",5,"https://images-na.ssl-images-amazon.com/images/I/71WzdWVhuLL.jpg
https://images-na.ssl-images-amazon.com/images/I/71yXPA81EjL.jpg","1856",,,
"R3VGT8XZEFGC9U","Satyapal singh","
  Defective product,got heat up within 5 minutes of starting. Need to return  fastVery very bad experience
","Reviewed in India on 10 October 2019","iPhone 11",1,"","1201",,,
"R36TDFD0HYYYRV","Gurmeet singh","
  The product i got was defective . The face id is not working and the back camera is also not working. There is a lot of hassle to get it exchanged. The apple service centre is also not of much help as the product is from amazon. Please buy phones from apple store to get the right product .
","Reviewed in India on 14 October 2019","Defective Iphone 11",1,"","1130",,,
"R3STQ1DN31XUOG","Vinay Kumar Gupta","
  Just after i switched it on, it started producing so much heating even i cant hold it by hand. Later i tried YouTube, game, normal browsing and it has the same excessive heating issue. Seems defective piece. I need refund asap. I have not paid 70k for a defective phone. I am feeling like got scammed.Edit - I returned this phone and got refund from amazon and bought the same from flipkart ..and it got no issues .
","Reviewed in India on 21 October 2019","Too much heat on normal use",1,"","728",,,
"R1H8D4TIBKUUCJ","NAZAR","
  Provided with defective product .Struggling for replacement since then .There are so many hidden terms and conditions.It's my last order on Amazon
","Reviewed in India on 8 November 2019","Provided with a defective product",1,"","692",,,
